Timestamp,Matched_Keyword,Question,Implied_Probability,Volume_USD,Link
2026-09-12 17:24:21,newsom,Will Gavin Newsom win the 2028 Democratic presidential nomination?,N/A,27234626.241445996,https://polymarket.com/market/will-gavin-newsom-win-the-2028-democratic-presidential-nomination-568
2026-09-12 17:24:21,democrat,Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,N/A,15145911.98109599,https://polymarket.com/market/will-alexandria-ocasio-cortez-win-the-2028-democratic-presidential-nomination-653
2026-09-12 17:24:21,democrat,Will Pete Buttigieg win the 2028 Democratic presidential nomination?,N/A,11987780.671215013,https://polymarket.com/market/will-pete-buttigieg-win-the-2028-democratic-presidential-nomination-687
2026-09-12 17:24:21,democrat,Will Josh Shapiro win the 2028 Democratic presidential nomination?,N/A,9879705.557846,https://polymarket.com/market/will-josh-shapiro-win-the-2028-democratic-presidential-nomination-977
2026-09-12 17:24:21,democrat,Will Wes Moore win the 2028 Democratic presidential nomination?,N/A,18419036.797280997,https://polymarket.com/market/will-wes-moore-win-the-2028-democratic-presidential-nomination-714
2026-09-12 17:24:21,democrat,Will Stephen A. Smith win the 2028 Democratic presidential nomination?,N/A,23008722.381689,https://polymarket.com/market/will-stephen-a-smith-win-the-2028-democratic-presidential-nomination-914
2026-09-12 17:24:21,harris,Will Kamala Harris win the 2028 Democratic presidential nomination?,N/A,13193989.705646,https://polymarket.com/market/will-kamala-harris-win-the-2028-democratic-presidential-nomination-641
2026-09-12 17:24:21,democrat,Will Gretchen Whitmer win the 2028 Democratic presidential nomination?,N/A,12045077.492072998,https://polymarket.com/market/will-gretchen-whitmer-win-the-2028-democratic-presidential-nomination-676
2026-09-12 17:24:21,democrat,Will Andy Beshear win the 2028 Democratic presidential nomination?,N/A,13156104.774033988,https://polymarket.com/market/will-andy-beshear-win-the-2028-democratic-presidential-nomination-832
2026-09-12 17:24:21,democrat,Will Jon Ossoff win the 2028 Democratic presidential nomination?,N/A,12886118.178944012,https://polymarket.com/market/will-jon-ossoff-win-the-2028-democratic-presidential-nomination-885
2026-09-12 17:24:21,democrat,Will Mark Cuban win the 2028 Democratic presidential nomination?,N/A,22929453.16620101,https://polymarket.com/market/will-mark-cuban-win-the-2028-democratic-presidential-nomination-329
2026-09-12 17:24:21,democrat,Will J.B. Pritzker win the 2028 Democratic presidential nomination?,N/A,15649140.897768985,https://polymarket.com/market/will-jb-pritzker-win-the-2028-democratic-presidential-nomination-288
2026-09-12 17:24:21,democrat,Will Raphael Warnock win the 2028 Democratic presidential nomination?,N/A,32183910.269714,https://polymarket.com/market/will-raphael-warnock-win-the-2028-democratic-presidential-nomination-914
2026-09-12 17:24:21,democrat,Will Cory Booker win the 2028 Democratic presidential nomination?,N/A,26281415.436262004,https://polymarket.com/market/will-corey-booker-win-the-2028-democratic-presidential-nomination-125
2026-09-12 17:24:21,democrat,Will Tim Walz win the 2028 Democratic presidential nomination?,N/A,43351808.53342804,https://polymarket.com/market/will-tim-walz-win-the-2028-democratic-presidential-nomination-475
2026-09-12 17:24:21,democrat,Will Michelle Obama win the 2028 Democratic presidential nomination?,N/A,26243075.03258501,https://polymarket.com/market/will-michelle-obama-win-the-2028-democratic-presidential-nomination-777
2026-09-12 17:24:21,democrat,Will Mark Kelly win the 2028 Democratic presidential nomination?,N/A,17550323.551484995,https://polymarket.com/market/will-mark-kelly-win-the-2028-democratic-presidential-nomination-479
2026-09-12 17:24:21,democrat,Will Rahm Emanuel win the 2028 Democratic presidential nomination?,N/A,14548174.053986,https://polymarket.com/market/will-rahm-emanuel-win-the-2028-democratic-presidential-nomination-299
2026-09-12 17:24:21,democrat,Will Gina Raimondo win the 2028 Democratic presidential nomination?,N/A,35767988.234999016,https://polymarket.com/market/will-gina-raimondo-win-the-2028-democratic-presidential-nomination-676
